id,noc,medal
762,URS,Silver
763,GER,Gold
764,GER,Gold
765,GBR,Gold
766,CAN,Gold
767,HUN,Gold
768,HUN,Silver
769,POL,Bronze
770,FRA,Silver
771,USA,Bronze
772,USA,Gold
773,USA,Gold
774,USA,Gold
775,BEL,Bronze
776,GUY,Bronze
777,IND,Silver
778,YUG,Silver
779,POL,Bronze
780,POL,Silver
781,USA,Bronze
782,AUS,Gold
783,YUG,Bronze
784,ARG,Silver
785,ARG,Bronze
786,ITA,Silver
787,RUS,Bronze
788,RUS,Silver
789,URS,Silver
790,UKR,Bronze
791,URS,Bronze
792,URS,Gold
793,RUS,Bronze
794,RUS,Silver
795,RUS,Gold
796,RUS,Silver
797,PAK,Silver
798,PAK,Gold
799,PAK,Silver
800,JPN,Gold
801,MAR,Bronze
802,TUR,Bronze
803,RUS,Gold
804,NGR,Silver
805,URS,Bronze
806,EUN,Bronze
807,GER,Bronze
808,GER,Gold
809,GER,Gold
810,GER,Silver
811,NOR,Silver
812,NOR,Silver
813,FRA,Silver
814,ROU,Bronze
815,ROU,Gold
816,FRG,Silver
817,NED,Silver
818,SWE,Silver
819,AUT,Gold
820,GBR,Bronze
821,GBR,Gold
822,CAN,Gold
823,CAN,Gold
824,CAN,Gold
825,MEX,Gold
826,TUR,Bronze
827,ESP,Silver
828,ISR,Silver
829,HUN,Silver
830,CUB,Silver
831,CUB,Silver
832,JPN,Bronze
833,JPN,Silver
834,JPN,Bronze
835,JPN,Gold
836,JPN,Gold
837,JPN,Bronze
838,JPN,Gold
839,ESP,Silver
840,FRA,Silver
841,YUG,Silver
842,CRO,Silver
843,BRA,Bronze
844,ITA,Gold
845,ROU,Bronze
846,ROU,Gold
847,ROU,Gold
848,ROU,Silver
849,ESP,Silver
850,ESP,Silver
851,ESP,Silver
852,YUG,Silver
853,ESP,Silver
854,FRA,Silver
855,GBR,Silver
856,GBR,Gold
857,GBR,Bronze
858,CAN,Silver
859,CAN,Bronze
860,NZL,Gold
861,GBR,Gold
862,GBR,Bronze
863,ITA,Gold
864,ITA,Bronze
865,CUB,Bronze
866,CUB,Bronze
867,GER,Gold
868,NOR,Gold
869,CUB,Bronze
870,INA,Bronze
871,USA,Gold
872,JPN,Silver
873,JPN,Bronze
874,BLR,Silver
875,URU,Gold
876,URU,Gold
877,BRA,Gold
878,RUS,Bronze
879,URS,Silver
880,GER,Gold
881,GER,Gold
882,ITA,Gold
883,ROU,Bronze
884,ROU,Silver
885,ROU,Bronze
886,ROU,Silver
887,CAN,Silver
888,USA,Gold
889,TTO,Gold
890,USA,Silver
891,USA,Gold
892,USA,Gold
893,USA,Gold
894,AUS,Gold
895,AUS,Silver
896,CAN,Bronze
897,GBR,Silver
898,AUS,Gold
899,USA,Gold
900,USA,Gold
901,USA,Gold
902,USA,Gold
903,ESP,Silver
904,ESP,Silver
905,YUG,Gold
906,GER,Silver
907,GER,Silver
908,DEN,Silver
909,NOR,Silver
910,URS,Bronze
911,USA,Gold
912,GER,Bronze
913,CAN,Gold
914,CAN,Silver
915,GBR,Silver
916,FRA,Bronze
917,FRA,Bronze
918,NOR,Bronze
919,SWE,Silver
920,ESP,Silver
921,URU,Gold
922,ESP,Silver
923,ITA,Bronze
924,USA,Bronze
925,CUB,Gold
926,FRA,Bronze
927,ARG,Silver
928,ARG,Bronze
929,CHI,Bronze
930,URS,Gold
931,USA,Gold
932,YUG,Gold
933,EUN,Silver
934,RUS,Silver
935,RUS,Silver
936,KAZ,Gold
937,USA,Bronze
938,RUS,Bronze
939,RSA,Bronze
940,FRA,Bronze
941,ESP,Silver
942,TUR,Bronze
943,URS,Gold
944,URS,Gold
945,URS,Silver
946,URS,Gold
947,URS,Gold
948,SWE,Gold
949,SWE,Bronze
950,SWE,Bronze
951,BLR,Gold
952,GHA,Bronze
953,URS,Bronze
954,URS,Silver
955,EUN,Bronze
956,JPN,Silver
957,LTU,Gold
958,JPN,Silver
959,GEO,Bronze
960,GEO,Gold
961,USA,Silver
962,GHA,Bronze
963,KEN,Silver
964,KEN,Gold
965,SWE,Gold
966,SWE,Silver
967,USA,Bronze
968,AUT,Bronze
969,SUI,Bronze
970,ISL,Silver
971,PAK,Silver
972,PAK,Bronze
973,USA,Silver
974,USA,Bronze
975,AUS,Silver
976,GBR,Bronze
977,GBR,Bronze
978,USA,Gold
979,USA,Gold
980,USA,Silver
981,USA,Gold
982,USA,Gold
983,NZL,Gold
984,JAM,Gold
985,AUS,Silver
986,USA,Gold
987,USA,Bronze
988,GRE,Silver
989,PAK,Gold
990,IND,Gold
991,AZE,Bronze
992,SWE,Bronze
993,SWE,Silver
994,FRA,Gold
995,SWE,Silver
996,SWE,Gold
997,GBR,Gold
998,SWE,Silver
999,URS,Gold
1000,URS,Bronze
1001,URS,Bronze
1002,URS,Gold
1003,URS,Silver
1004,URS,Gold
1005,URS,Bronze
1006,URS,Gold
1007,URS,Silver
1008,URS,Gold
1009,EUN,Silver
1010,BLR,Bronze
1011,URS,Bronze
1012,GBR,Bronze
1013,SWE,Bronze
1014,CAN,Silver
1015,GBR,Bronze
1016,GBR,Gold
1017,DEN,Gold
1018,POL,Bronze
1019,YUG,Silver
1020,URS,Gold
1021,UZB,Bronze
1022,PAK,Silver
1023,PAK,Gold
1024,PAK,Silver
1025,GBR,Gold
1026,GBR,Bronze
1027,USA,Silver
1028,RSA,Silver
1029,RSA,Gold
1030,ISL,Silver
1031,CAN,Silver
1032,ITA,Gold
1033,ITA,Bronze
1034,GBR,Gold
1035,FRA,Silver
1036,GBR,Bronze
1037,USA,Bronze
1038,USA,Silver
1039,USA,Gold
1040,ITA,Gold
1041,CAN,Silver
1042,CAN,Silver
1043,CAN,Silver
1044,CAN,Bronze
1045,NGR,Bronze
1046,FRG,Gold
1047,GDR,Bronze
1048,GDR,Gold
1049,GDR,Silver
1050,GER,Silver
1051,SUI,Gold
1052,NOR,Bronze
1053,NOR,Gold
1054,NOR,Bronze
1055,USA,Bronze
1056,TCH,Silver
1057,TCH,Bronze
1058,FRA,Gold
1059,USA,Gold
1060,USA,Gold
1061,USA,Gold
1062,FRG,Bronze
1063,RUS,Silver
1064,NOR,Gold
1065,CAN,Bronze
1066,FRA,Gold
1067,URS,Silver
1068,NOR,Bronze
1069,NOR,Silver
1070,NOR,Bronze
1071,NOR,Silver
1072,NOR,Gold
1073,ITA,Bronze
1074,SWE,Bronze
1075,USA,Bronze
1076,USA,Gold
1077,USA,Gold
1078,USA,Bronze
1079,NOR,Silver
1080,BEL,Silver
1081,URS,Gold
1082,ARG,Gold
1083,RUS,Silver
1084,URS,Bronze
1085,AUS,Silver
1086,URS,Gold
1087,URS,Bronze
1088,MEX,Bronze
1089,MAS,Bronze
1090,NGR,Gold
1091,DEN,Bronze
1092,SWE,Gold
1093,FRA,Gold
1094,ARG,Silver
1095,ARG,Gold
1096,BLR,Bronze
1097,GHA,Bronze
1098,FRA,Silver
1099,TUR,Bronze
1100,ARG,Silver
1101,ARG,Bronze
1102,ARG,Bronze
1103,ARG,Silver
1104,RUS,Bronze
1105,JAM,Silver
1106,GBR,Gold
1107,GBR,Gold
1108,PAK,Silver
1109,ARG,Silver
1110,BLR,Bronze
1111,BLR,Gold
1112,RUS,Gold
1113,RUS,Gold
1114,URS,Gold
1115,URS,Gold
1116,URS,Silver
1117,URS,Gold
1118,URS,Gold
1119,CUB,Silver
1120,USA,Silver
1121,IRQ,Bronze
1122,PAK,Silver
1123,PAK,Gold
1124,URS,Bronze
1125,ESP,Silver
1126,FRA,Gold
1127,NGR,Bronze
1128,USA,Gold
1129,CHN,Bronze
1130,GER,Bronze
1131,GER,Silver
1132,NED,Silver
1133,CZE,Bronze
1134,UKR,Bronze
1135,NGR,Gold
1136,URS,Bronze
1137,URS,Bronze
1138,USA,Silver
1139,USA,Silver
1140,USA,Gold
1141,USA,Gold
1142,USA,Silver
1143,USA,Silver
1144,USA,Silver
1145,USA,Gold
1146,USA,Silver
1147,NGR,Gold
1148,USA,Gold
1149,USA,Gold
1150,USA,Gold
1151,USA,Gold
1152,URS,Gold
1153,URS,Gold
1154,USA,Silver
1155,GDR,Gold
1156,BLR,Bronze
1157,FRA,Silver
1158,ESP,Silver
1159,USA,Silver
1160,SUI,Silver
1161,GDR,Gold
1162,SUI,Silver
1163,SUI,Silver
1164,SUI,Silver
1165,SUI,Bronze
1166,SUI,Silver
1167,GER,Gold
1168,GER,Bronze
1169,URS,Bronze
1170,SWE,Silver
1171,USA,Silver
1172,USA,Bronze
1173,GBR,Bronze
1174,GBR,Silver
1175,GBR,Silver
1176,SWE,Bronze
1177,SWE,Gold
1178,SWE,Silver
1179,FIN,Bronze
1180,GBR,Bronze
1181,ITA,Gold
1182,SUI,Silver
1183,HUN,Bronze
1184,HUN,Gold
1185,NGR,Gold
1186,BRA,Silver
1187,GBR,Silver
1188,GBR,Gold
1189,USA,Bronze
1190,ROU,Gold
1191,POL,Bronze
1192,FRA,Silver
1193,FRG,Silver
1194,FRG,Silver
1195,USA,Silver
1196,GDR,Silver
1197,URS,Gold
1198,RUS,Bronze
1199,KOR,Bronze
1200,KOR,Silver
